Attraction ID,Place Name,Google Rating,Number of Reviews,Category,Attraction Type,Area,Entry Fee (₹),Best Time,Popularity Score
1,City Palace,4.5,114240,Palace,Historical,Old City,400,Morning / Evening,514.08
2,Lake Pichola,4.6,13875,Lake,Natural,Pichola,0,Sunset,63.825
3,Fateh Sagar Lake,4.7,28120,Lake,Natural,Fateh Sagar,0,Evening / Sunset,132.164
4,Sajjangarh Palace (Monsoon Palace),4.4,26550,Fort,Historical,Kodiyat (Bansdara Hills),160,Sunset,116.82
5,Jagdish Temple,4.7,12410,Temple,Spiritual,Old City,0,Morning / Evening Aarti,58.327
6,Saheliyon Ki Bari,4.4,43180,Garden,Recreational,Panchwati,30,Morning,189.992
7,Bagore Ki Haveli,4.5,16790,Museum,Cultural,"Gangaur Ghat, Pichola",60,Evening,75.555
8,Ahar Cenotaphs,4.2,1850,Heritage,Historical,Ahar,0,Afternoon,7.77
9,Shilpgram,4.3,12150,Cultural Village,Cultural,Shilpgram,50,Winter,52.245
10,Karni Mata Temple,4.4,7230,Temple,Spiritual,Machala Magra,0,Sunset,31.812
11,Moti Magri,4.5,9120,Heritage,Historical,Zinc Park,100,Late Afternoon,41.04
12,Badi Lake,4.6,7890,Lake,Natural,Badi Village,0,Sunrise,36.294
13,Vintage and Classic Car Collection Museum,3.8,6420,Museum,Cultural,Gulab Bagh Road,400,Midday,24.396
14,Neemach Mata Temple,4.6,4820,Temple,Spiritual,Dewali,0,Early Morning,22.172
15,Gulab Bagh,4.1,14340,Park,Recreational,Khanjipeer,30,Morning / Evening,58.794
16,Doodh Talai Lake,4.4,8110,Lake,Natural,Pichola,0,Sunset,35.684
17,Maharana Pratap Memorial,4.5,9120,Monument,Historical,Moti Magri Hill,100,Late Afternoon,41.04
18,Jaisamand Lake,4.5,5670,Lake,Natural,Jaisamand,0,Day Trip,25.515
19,Eklingji Temple,4.7,15430,Temple,Spiritual,Kailashpuri,0,Morning Aarti,72.521
20,Nagda Temples,4.5,2310,Heritage,Historical,Nagda Village,0,Morning,10.395
21,Rajiv Gandhi Park,4.2,4980,Park,Recreational,Rani Road,30,Evening,20.916
22,Under the Sun Aquarium,4.2,4180,Aquarium,Entertainment,Fateh Sagar Pal,120,Afternoon,17.556
23,Bahubali Hills,4.7,3450,Viewpoint,Natural,Badi Lake Area,0,Sunrise / Sunset,16.215
24,Ubeshwar Mahadev Temple,4.6,2120,Temple,Spiritual,Ubeshwar Hills,0,Monsoon / Morning,9.752
